Source,Compressive strength of cementfce(MPa),Tensile strength of cementfct(MPa),Curing age (day),Dmax of Crushed stone(mm),Stone powder content in Sand (%),Fineness modulus of sand ,W/B,Water to cement ratio mw/mc,Water(kg/m3),Sand ratio(%),Slump(mm),"Compressive strengthfcu,t(MPa)","Splitting tensile strengthfst,t(MPa)"
Fu [37],-,-,90,120,10.8,2.42,0.55,0.92,88,27,42,24.8,1.80
Fu [37],-,-,90,120,12.4,2.57,0.55,0.92,85,28,45,30.9,2.26
Yang et al. [38],62.4,8.4,7,40,11.9*,2.86,0.50,0.83,87~89,-,<10,15.5,0.79
Yang et al. [38],62.4,8.4,7,40,11.9*,2.86,0.50,1.00,87~89,-,<10,11.9,0.72
Yang et al. [38],62.4,8.4,7,40,11.9*,2.86,0.50,1.11,87~89,-,<10,9.3,0.61
Yang et al. [38],62.4,8.4,7,40,11.9*,2.86,0.50,1.11,87~89,-,<10,7.5,0.60
Yang et al. [38],62.4,8.4,7,40,11.9*,2.86,0.50,1.25,87~89,-,<10,7.8,0.47
Yang et al. [38],62.4,8.4,7,40,11.9*,2.86,0.50,1.43,87~89,-,<10,5.8,0.46
Yang et al. [38],62.4,8.4,7,40,6.1*,2.92,0.50,0.83,101~103,-,<10,11.6,0.90
Yang et al. [38],62.4,8.4,7,40,6.1*,2.92,0.50,1.00,101~103,-,<10,9.2,0.72
Yang et al. [38],62.4,8.4,7,40,6.1*,2.92,0.50,1.11,101~103,-,<10,7.8,0.65
Yang et al. [38],62.4,8.4,7,60,11.9*,2.86,0.50,0.83,74~76,-,<10,14.0,1.18
Yang et al. [38],62.4,8.4,7,60,11.9*,2.86,0.50,1.00,74~76,-,<10,12.5,0.84
Yang et al. [38],62.4,8.4,7,60,11.9*,2.86,0.50,1.11,74~76,-,<10,9.2,0.62
Yang et al. [38],62.4,8.4,7,60,11.9*,2.86,0.50,1.25,74~76,-,<10,8.3,0.57
Yang et al. [38],62.4,8.4,7,60,11.9*,2.86,0.50,1.43,74~76,-,<10,6.9,0.56
Yang et al. [38],62.4,8.4,7,80,11.9*,2.86,0.50,0.83,70~72,-,<10,15.2,0.96
Yang et al. [38],62.4,8.4,7,80,11.9*,2.86,0.50,1.00,70~72,-,<10,12.9,0.86
Yang et al. [38],62.4,8.4,7,80,11.9*,2.86,0.50,1.11,70~72,-,<10,10.3,0.65
Yang et al. [38],62.4,8.4,7,80,11.9*,2.86,0.50,1.11,70~72,-,<10,9.0,0.64
Yang et al. [38],62.4,8.4,7,80,11.9*,2.86,0.50,1.25,70~72,-,<10,7.4,0.52
Yang et al. [38],62.4,8.4,7,80,11.9*,2.86,0.50,1.43,70~72,-,<10,4.8,0.35
Yang et al. [38],62.4,8.4,7,80,6.1*,2.92,0.50,0.83,81~83,-,<10,12.4,0.96
Yang et al. [38],62.4,8.4,7,80,6.1*,2.92,0.50,1.00,81~83,-,<10,9.2,0.72
Yang et al. [38],62.4,8.4,7,80,6.1*,2.92,0.50,1.11,81~83,-,<10,6.8,0.55
Yang et al. [38],62.4,8.4,7,80,6.1*,2.92,0.50,1.25,81~83,-,<10,6.5,0.54
Yang et al. [38],62.4,8.4,7,80,6.1*,2.92,0.50,1.43,81~83,-,<10,6.8,0.54
Yang et al. [38],62.4,8.4,28,40,11.9*,2.86,0.50,0.83,87~89,-,<10,23.6,2.04
Yang et al. [38],62.4,8.4,28,40,11.9*,2.86,0.50,1.00,87~89,-,<10,21.5,1.80
Yang et al. [38],62.4,8.4,28,40,11.9*,2.86,0.50,1.11,87~89,-,<10,19.9,1.62
Yang et al. [38],62.4,8.4,28,40,11.9*,2.86,0.50,1.11,87~89,-,<10,13.2,1.13
Yang et al. [38],62.4,8.4,28,40,11.9*,2.86,0.50,1.25,87~89,-,<10,15.9,1.40
Yang et al. [38],62.4,8.4,28,40,11.9*,2.86,0.50,1.43,87~89,-,<10,11.3,1.08
Yang et al. [38],62.4,8.4,28,40,6.1*,2.92,0.50,0.83,101~103,-,<10,21.6,1.96
Yang et al. [38],62.4,8.4,28,40,6.1*,2.92,0.50,1.00,101~103,-,<10,20.0,1.69
Yang et al. [38],62.4,8.4,28,40,6.1*,2.92,0.50,1.11,101~103,-,<10,18.5,1.53
Yang et al. [38],62.4,8.4,28,60,11.9*,2.86,0.50,0.83,74~76,-,<10,24.5,2.18
Yang et al. [38],62.4,8.4,28,60,11.9*,2.86,0.50,1.00,74~76,-,<10,21.4,1.63
Yang et al. [38],62.4,8.4,28,60,11.9*,2.86,0.50,1.11,74~76,-,<10,19.6,1.26
Yang et al. [38],62.4,8.4,28,60,11.9*,2.86,0.50,1.25,74~76,-,<10,16.9,1.09
Yang et al. [38],62.4,8.4,28,60,11.9*,2.86,0.50,1.43,74~76,-,<10,13.2,1.02
Yang et al. [38],62.4,8.4,28,80,11.9*,2.86,0.50,0.83,70~72,-,<10,24.1,2.1
Yang et al. [38],62.4,8.4,28,80,11.9*,2.86,0.50,1.00,70~72,-,<10,21.5,1.8
Yang et al. [38],62.4,8.4,28,80,11.9*,2.86,0.50,1.11,70~72,-,<10,20.1,1.6
Yang et al. [38],62.4,8.4,28,80,11.9*,2.86,0.50,1.11,70~72,-,<10,16.2,1.46
Yang et al. [38],62.4,8.4,28,80,11.9*,2.86,0.50,1.25,70~72,-,<10,14.9,1.45
Yang et al. [38],62.4,8.4,28,80,11.9*,2.86,0.50,1.43,70~72,-,<10,10.1,1.08
Yang et al. [38],62.4,8.4,28,80,6.1*,2.92,0.50,0.83,81~83,-,<10,21.8,1.92
Yang et al. [38],62.4,8.4,28,80,6.1*,2.92,0.50,1.00,81~83,-,<10,18.9,1.42
Yang et al. [38],62.4,8.4,28,80,6.1*,2.92,0.50,1.11,81~83,-,<10,14.0,1.06
Yang et al. [38],62.4,8.4,28,80,6.1*,2.92,0.50,1.25,81~83,-,<10,13.5,1.11
Yang et al. [38],62.4,8.4,28,80,6.1*,2.92,0.50,1.43,81~83,-,<10,12.9,1.16
Yang et al. [38],62.4,8.4,90,40,11.9*,2.86,0.50,0.83,87~89,-,<10,32.8,2.2
Yang et al. [38],62.4,8.4,90,40,11.9*,2.86,0.50,1.00,87~89,-,<10,28.0,2.12
Yang et al. [38],62.4,8.4,90,40,11.9*,2.86,0.50,1.11,87~89,-,<10,25.5,2.10
Yang et al. [38],62.4,8.4,90,40,11.9*,2.86,0.50,1.11,87~89,-,<10,24.4,2.09
Yang et al. [38],62.4,8.4,90,40,11.9*,2.86,0.50,1.25,87~89,-,<10,22.9,2.05
Yang et al. [38],62.4,8.4,90,40,11.9*,2.86,0.50,1.43,87~89,-,<10,20.8,1.99
Yang et al. [38],62.4,8.4,90,40,6.1*,2.92,0.50,0.83,101~103,-,<10,29.8,2.52
Yang et al. [38],62.4,8.4,90,40,6.1*,2.92,0.50,1.00,101~103,-,<10,27.8,2.18
Yang et al. [38],62.4,8.4,90,40,6.1*,2.92,0.50,1.11,101~103,-,<10,26.9,1.95
Yang et al. [38],62.4,8.4,90,60,11.9*,2.86,0.50,0.83,74~76,-,<10,34.6,2.88
Yang et al. [38],62.4,8.4,90,60,11.9*,2.86,0.50,1.00,74~76,-,<10,27.9,2.29
Yang et al. [38],62.4,8.4,90,60,11.9*,2.86,0.50,1.11,74~76,-,<10,24.3,2.08
Yang et al. [38],62.4,8.4,90,60,11.9*,2.86,0.50,1.25,74~76,-,<10,23.5,1.93
Yang et al. [38],62.4,8.4,90,60,11.9*,2.86,0.50,1.43,74~76,-,<10,22.5,1.80
Yang et al. [38],62.4,8.4,90,80,11.9*,2.86,0.50,0.83,70~72,-,<10,33.4,2.45
Yang et al. [38],62.4,8.4,90,80,11.9*,2.86,0.50,1.00,70~72,-,<10,30.1,2.20
Yang et al. [38],62.4,8.4,90,80,11.9*,2.86,0.50,1.11,70~72,-,<10,29.1,2.13
Yang et al. [38],62.4,8.4,90,80,11.9*,2.86,0.50,1.11,70~72,-,<10,21.5,1.90
Yang et al. [38],62.4,8.4,90,80,11.9*,2.86,0.50,1.25,70~72,-,<10,20.2,2.05
Yang et al. [38],62.4,8.4,90,80,11.9*,2.86,0.50,1.43,70~72,-,<10,17.5,1.87
Yang et al. [38],62.4,8.4,90,80,6.1*,2.92,0.50,0.83,81~83,-,<10,30.2,2.49
Yang et al. [38],62.4,8.4,90,80,6.1*,2.92,0.50,1.00,81~83,-,<10,28.2,2.21
Yang et al. [38],62.4,8.4,90,80,6.1*,2.92,0.50,1.11,81~83,-,<10,27.7,2.10
Yang et al. [38],62.4,8.4,90,80,6.1*,2.92,0.50,1.25,81~83,-,<10,27.0,2.01
Yang et al. [38],62.4,8.4,90,80,6.1*,2.92,0.50,1.43,81~83,-,<10,26.5,2.00
Li et al. [39],-,-,7,80,6*,2.68,0.50,0.67,104,30,50,15.2,1.44
Li et al. [39],-,-,7,80,9*,2.68,0.50,0.67,112,30,48,15.2,1.56
Li et al. [39],-,-,7,80,12*,2.68,0.50,0.67,114,30,50,16.4,1.59
Li et al. [39],-,-,7,80,15*,2.68,0.50,0.67,115,30,40,18.5,1.50
Li et al. [39],-,-,7,80,18*,2.68,0.50,0.67,117,30,44,16.2,1.62
Li et al. [39],-,-,7,80,15*,2.68,0.50,0.67,110,30,36,18.2,1.70
Li et al. [39],-,-,7,80,15*,2.68,0.50,0.67,108,30,49,15.8,1.58
Li et al. [39],-,-,7,80,9*,2.68,0.50,-,111,30,41,16.6,1.54
Li et al. [39],-,-,7,80,6*,2.68,0.50,-,112,30,50,17.2,1.58
Li et al. [39],-,-,28,80,6*,2.68,0.50,0.67,104,30,50,22.6,2.49
Li et al. [39],-,-,28,80,9*,2.68,0.50,0.67,112,30,48,26.2,2.33
Li et al. [39],-,-,28,80,12*,2.68,0.50,0.67,114,30,50,24.2,2.36
Li et al. [39],-,-,28,80,15*,2.68,0.50,0.67,115,30,40,27.3,2.75
Li et al. [39],-,-,28,80,18*,2.68,0.50,0.67,117,30,44,26.7,2.76
Li et al. [39],-,-,28,80,15*,2.68,0.50,0.67,110,30,36,26.5,2.48
Li et al. [39],-,-,28,80,15*,2.68,0.50,0.67,108,30,49,23.1,2.27
Li et al. [39],-,-,28,80,9*,2.68,0.50,-,111,30,41,28.2,2.97
Li et al. [39],-,-,28,80,6*,2.68,0.50,-,112,30,50,30.2,2.90
Li et al. [39],-,-,90,80,6*,2.68,0.50,0.67,104,30,50,29.9,3.54
Li et al. [39],-,-,90,80,9*,2.68,0.50,0.67,112,30,48,32.0,3.42
Li et al. [39],-,-,90,80,12*,2.68,0.50,0.67,114,30,50,33.0,3.18
Li et al. [39],-,-,90,80,15*,2.68,0.50,0.67,115,30,40,37.9,3.15
Li et al. [39],-,-,90,80,18*,2.68,0.50,0.67,117,30,44,37.1,3.21
Li et al. [39],-,-,90,80,15*,2.68,0.50,0.67,110,30,36,34.8,3.18
Li et al. [39],-,-,90,80,15*,2.68,0.50,0.67,108,30,49,34.2,2.69
Li et al. [39],-,-,90,80,9*,2.68,0.50,-,111,30,41,32.6,3.14
Li et al. [39],-,-,90,80,6*,2.68,0.50,-,112,30,50,39.6,3.11
Xing [40],52.9,8.4,7,80,15*,2.80,0.50,0.67,104,30,44,20.4,1.61
Xing [40],52.9,8.4,7,80,15*,2.80,0.50,0.67,108,30,49,19.9,1.57
Xing [40],52.9,8.4,7,80,15*,2.80,0.50,0.67,110,30,36,19.2,1.53
Xing [40],52.9,8.4,7,80,15*,2.80,0.50,0.67,114,30,45,18.4,1.50
Xing [40],52.9,8.4,7,80,15*,2.80,0.50,0.67,115,30,40,18.4,1.50
Xing [40],52.9,8.4,28,80,15*,2.80,0.50,0.67,104,30,44,29.7,3.04
Xing [40],52.9,8.4,28,80,15*,2.80,0.50,0.67,108,30,49,29.7,3.02
Xing [40],52.9,8.4,28,80,15*,2.80,0.50,0.67,110,30,36,28.5,2.91
Xing [40],52.9,8.4,28,80,15*,2.80,0.50,0.67,114,30,45,27.4,2.84
Xing [40],52.9,8.4,28,80,15*,2.80,0.50,0.67,115,30,40,27.1,2.75
Xing [40],52.9,8.4,90,80,15*,2.80,0.50,0.67,104,30,44,40.9,3.43
Xing [40],52.9,8.4,90,80,15*,2.80,0.50,0.67,108,30,49,40.2,3.37
Xing [40],52.9,8.4,90,80,15*,2.80,0.50,0.67,110,30,36,39.4,3.26
Xing [40],52.9,8.4,90,80,15*,2.80,0.50,0.67,114,30,45,38.3,3.19
Xing [40],52.9,8.4,90,80,15*,2.80,0.50,0.67,115,30,40,37.5,3.15
C. Parra et al. [41],39.42,-,7,12,19.2,-,0.37,0.65,178.75,53,-,26.56# ,1.92※
C. Parra et al. [41],39.42,-,28,12,19.2,-,0.37,0.65,178.75,53,-,33.12# ,2.34※
C. Parra et al. [41],39.42,-,90,12,19.2,-,0.37,0.65,178.75,53,-,39.94# ,3.32※
C. Parra et al. [41],39.42,-,7,12,19.2,-,0.34,0.55,178.75,53,-,32.17# ,2.67※
C. Parra et al. [41],39.42,-,28,12,19.2,-,0.34,0.55,178.75,53,-,40.49# ,3.03※
C. Parra et al. [41],39.42,-,90,12,19.2,-,0.34,0.55,178.75,53,-,49.70# ,3.68※
C. Parra et al. [41],48.07,-,7,12,19.2,-,0.34,0.55,178.75,53,-,43.15# ,2.90※
C. Parra et al. [41],48.07,-,28,12,19.2,-,0.34,0.55,178.75,53,-,49.26# ,3.12※
C. Parra et al. [41],48.07,-,90,12,19.2,-,0.34,0.55,178.75,53,-,63.70# ,4.10※
C. Parra et al. [41],48.07,-,7,12,19.2,-,0.31,0.45,180,53,-,55.85# ,3.85※
C. Parra et al. [41],48.07,-,28,12,19.2,-,0.31,0.45,180,53,-,63.72# ,3.86※
C. Parra et al. [41],48.07,-,90,12,19.2,-,0.31,0.45,180,53,-,79.17# ,4.19※
C. Parra et al. [41],39.42,-,7,12,19.2,-,0.40,0.65,178.75,54,145,28.00# ,2.22※
C. Parra et al. [41],39.42,-,28,12,19.2,-,0.40,0.65,178.75,54,145,35.47# ,3.34※
C. Parra et al. [41],39.42,-,90,12,19.2,-,0.40,0.65,178.75,54,145,44.25# ,3.47※
C. Parra et al. [41],39.42,-,7,12,19.2,-,0.36,0.55,178.75,54,135,33.42# ,2.31※
C. Parra et al. [41],39.42,-,28,12,19.2,-,0.36,0.55,178.75,54,135,41.43# ,3.52※
C. Parra et al. [41],39.42,-,90,12,19.2,-,0.36,0.55,178.75,54,135,52.35# ,3.98※
C. Parra et al. [41],48.07,-,7,12,19.2,-,0.36,0.55,178.75,54,140,42.97# ,3.61※
C. Parra et al. [41],48.07,-,28,12,19.2,-,0.36,0.55,178.75,54,140,46.85# ,4.25※
C. Parra et al. [41],48.07,-,90,12,19.2,-,0.36,0.55,178.75,54,140,60.65# ,4.59※
C. Parra et al. [41],48.07,-,7,12,19.2,-,0.32,0.45,180,54,140,47.71# ,3.75※
C. Parra et al. [41],48.07,-,28,12,19.2,-,0.32,0.45,180,54,140,65.37# ,4.69※
C. Parra et al. [41],48.07,-,90,12,19.2,-,0.32,0.45,180,54,140,73.70# ,4.76※
